"provinsi";"kabupaten";"urutan";"#desa"
ACEH;ACEH UTARA;1;852
ACEH;PIDIE;2;730
ACEH;BIREUEN;3;609
ACEH;ACEH BESAR;4;604
ACEH;ACEH TIMUR;5;513
BALI;BULELENG;1;148
BALI;TABANAN;2;133
BALI;KARANGASEM;3;78
BALI;BANGLI;4;72
BALI;GIANYAR;5;70
BANTEN;LEBAK;1;345
BANTEN;PANDEGLANG;2;339
BANTEN;SERANG;3;326
BANTEN;TANGERANG;4;274
BANTEN;KOTA TANGERANG;5;104
BENGKULU;BENGKULU UTARA;1;220
BENGKULU;SELUMA;2;202
BENGKULU;KAUR;3;195
BENGKULU;BENGKULU SELATAN;4;158
BENGKULU;REJANG LEBONG;5;156
DAERAH ISTIMEWA YOGYAKARTA;GUNUNGKIDUL;1;144
DAERAH ISTIMEWA YOGYAKARTA;KULON PROGO;2;88
DAERAH ISTIMEWA YOGYAKARTA;SLEMAN;3;86
DAERAH ISTIMEWA YOGYAKARTA;BANTUL;4;75
DAERAH ISTIMEWA YOGYAKARTA;KOTA YOGYAKARTA;5;45
DKI JAKARTA;KOTA ADMINISTRASI JAKARTA SELATAN;1;65
DKI JAKARTA;KOTA ADMINISTRASI JAKARTA TIMUR;2;65
DKI JAKARTA;KOTA ADMINISTRASI JAKARTA BARAT;3;56
DKI JAKARTA;KOTA ADMINISTRASI JAKARTA PUSAT;4;44
DKI JAKARTA;KOTA ADMINISTRASI JAKARTA UTARA;5;31
GORONTALO;GORONTALO;1;205
GORONTALO;BONE BOLANGO;2;165
GORONTALO;GORONTALO UTARA;3;123
GORONTALO;PAHUWATO;4;104
GORONTALO;BOALEMO;5;82
JAMBI;KERINCI;1;287
JAMBI;MERANGIN;2;215
JAMBI;SAROLANGUN;3;158
JAMBI;MUARO JAMBI;4;155
JAMBI;BUNGO;5;153
JAWA BARAT;GARUT;1;442
JAWA BARAT;BOGOR;2;435
JAWA BARAT;CIREBON;3;424
JAWA BARAT;SUKABUMI;4;386
JAWA BARAT;KUNINGAN;5;376
JAWA TENGAH;PURWOREJO;1;494
JAWA TENGAH;KEBUMEN;2;460
JAWA TENGAH;PATI;3;406
JAWA TENGAH;KLATEN;4;401
JAWA TENGAH;MAGELANG;5;372
JAWA TIMUR;LAMONGAN;1;474
JAWA TIMUR;BOJONEGORO;2;430
JAWA TIMUR;MALANG;3;390
JAWA TIMUR;PASURUAN;4;365
JAWA TIMUR;GRESIK;5;356
KALIMANTAN BARAT;SINTANG;1;406
KALIMANTAN BARAT;KAPUAS HULU;2;282
KALIMANTAN BARAT;KETAPANG;3;262
KALIMANTAN BARAT;SAMBAS;4;193
KALIMANTAN BARAT;SANGGAU;5;169
KALIMANTAN SELATAN;BANJAR;1;290
KALIMANTAN SELATAN;HULU SUNGAI UTARA;2;219
KALIMANTAN SELATAN;KOTABARU;3;202
KALIMANTAN SELATAN;BARITO KUALA;4;201
KALIMANTAN SELATAN;HULU SUNGAI TENGAH;5;169
KALIMANTAN TENGAH;KAPUAS;1;231
KALIMANTAN TENGAH;KOTAWARINGIN TIMUR;2;185
KALIMANTAN TENGAH;KATINGAN;3;161
KALIMANTAN TENGAH;GUNUNG MAS;4;127
KALIMANTAN TENGAH;MURUNG RAYA;5;125
KALIMANTAN TIMUR;KUTAI KARTANEGARA;1;237
KALIMANTAN TIMUR;KUTAI BARAT;2;194
KALIMANTAN TIMUR;PASER;3;144
KALIMANTAN TIMUR;KUTAI TIMUR;4;141
KALIMANTAN TIMUR;BERAU;5;110
KALIMANTAN UTARA;NUNUKAN;1;240
KALIMANTAN UTARA;MALINAU;2;109
KALIMANTAN UTARA;BULUNGAN;3;81
KALIMANTAN UTARA;TANA TIDUNG;4;32
KALIMANTAN UTARA;KOTA TARAKAN;5;20
KEPULAUAN BANGKA BELITUNG;BANGKA;1;81
KEPULAUAN BANGKA BELITUNG;BANGKA BARAT;2;64
KEPULAUAN BANGKA BELITUNG;BANGKA TENGAH;3;63
KEPULAUAN BANGKA BELITUNG;BANGKA SELATAN;4;53
KEPULAUAN BANGKA BELITUNG;BELITUNG;5;49
KEPULAUAN RIAU;LINGGA;1;82
KEPULAUAN RIAU;NATUNA;2;77
KEPULAUAN RIAU;KARIMUN;3;71
KEPULAUAN RIAU;KOTA BATAM;4;64
KEPULAUAN RIAU;KEPULAUAN ANAMBAS;5;54
LAMPUNG;LAMPUNG TENGAH;1;311
LAMPUNG;TANGGAMUS;2;302
LAMPUNG;LAMPUNG TIMUR;3;264
LAMPUNG;LAMPUNG SELATAN;4;260
LAMPUNG;LAMPUNG UTARA;5;247
MALUKU;SERAM BAGIAN TIMUR;1;198
MALUKU;MALUKU TENGAH;2;192
MALUKU;MALUKU TENGGARA;3;191
MALUKU;KEPULAUAN ARU;4;119
MALUKU;MALUKU BARAT DAYA;5;118
MALUKU UTARA;HALMAHERA SELATAN;1;249
MALUKU UTARA;HALMAHERA UTARA;2;196
MALUKU UTARA;HALMAHERA BARAT;3;169
MALUKU UTARA;HALMAHERA TIMUR;4;102
MALUKU UTARA;KOTA TIDORE KEPULAUAN;5;89
NUSA TENGGARA BARAT;LOMBOK TIMUR;1;254
NUSA TENGGARA BARAT;BIMA;2;191
NUSA TENGGARA BARAT;SUMBAWA;3;165
NUSA TENGGARA BARAT;LOMBOK TENGAH;4;139
NUSA TENGGARA BARAT;LOMBOK BARAT;5;122
NUSA TENGGARA TIMUR;TIMOR TENGAH SELATAN;1;278
NUSA TENGGARA TIMUR;ENDE;2;278
NUSA TENGGARA TIMUR;FLORES TIMUR;3;250
NUSA TENGGARA TIMUR;TIMOR TENGAH UTARA;4;193
NUSA TENGGARA TIMUR;KUPANG;5;177
PAPUA;TOLIKARA;1;545
PAPUA;YAHUKIMO;2;511
PAPUA;LANNY JAYA;3;355
PAPUA;JAYAWIJAYA;4;332
PAPUA;PUNCAK JAYA;5;305
PAPUA BARAT;MAYBRAT;1;260
PAPUA BARAT;SORONG;2;252
PAPUA BARAT;TAMBRAUW;3;216
PAPUA BARAT;MANOKWARI;4;173
PAPUA BARAT;PEGUNUNGAN ARFAK;5;166
RIAU;KAMPAR;1;250
RIAU;INDRAGIRI HILIR;2;236
RIAU;KUANTAN SINGINGI;3;229
RIAU;INDRAGIRI HULU;4;194
RIAU;ROKAN HILIR;5;184
SULAWESI BARAT;MAMASA;1;181
SULAWESI BARAT;POLEWALI MANDAR;2;167
SULAWESI BARAT;MAMUJU;3;101
SULAWESI BARAT;MAJENE;4;82
SULAWESI BARAT;PASANGKAYU;5;63
SULAWESI SELATAN;BONE;1;372
SULAWESI SELATAN;LUWU;2;227
SULAWESI SELATAN;WAJO;3;190
SULAWESI SELATAN;LUWU UTARA;4;173
SULAWESI SELATAN;GOWA;5;167
SULAWESI TENGAH;BANGGAI;1;337
SULAWESI TENGAH;PARIGI MOUTONG;2;283
SULAWESI TENGAH;SIGI;3;176
SULAWESI TENGAH;POSO;4;170
SULAWESI TENGAH;DONGGALA;5;167
SULAWESI TENGGARA;KONAWE SELATAN;1;351
SULAWESI TENGGARA;KONAWE;2;348
SULAWESI TENGGARA;KONAWE UTARA;3;170
SULAWESI TENGGARA;MUNA;4;150
SULAWESI TENGGARA;BOMBANA;5;143
SULAWESI UTARA;MINAHASA;1;270
SULAWESI UTARA;BOLAANG MONGONDOW;2;202
SULAWESI UTARA;MINAHASA SELATAN;3;177
SULAWESI UTARA;KEPULAUAN SANGIHE;4;167
SULAWESI UTARA;KEPULAUAN TALAUD;5;153
SUMATERA BARAT;PESISIR SELATAN;1;182
SUMATERA BARAT;KOTA PADANG;2;104
SUMATERA BARAT;PADANG PARIAMAN;3;103
SUMATERA BARAT;AGAM;4;82
SUMATERA BARAT;LIMA PULUH KOTA;5;79
SUMATERA SELATAN;LAHAT;1;378
SUMATERA SELATAN;OGAN KOMERING ILIR;2;327
SUMATERA SELATAN;OGAN KOMERING ULU TIMUR;3;312
SUMATERA SELATAN;BANYUASIN;4;305
SUMATERA SELATAN;OGAN KOMERING ULU SELATAN;5;259
SUMATERA UTARA;NIAS SELATAN;1;461
SUMATERA UTARA;SIMALUNGUN;2;413
SUMATERA UTARA;MANDAILING NATAL;3;404
SUMATERA UTARA;DELI SERDANG;4;394
SUMATERA UTARA;PADANG LAWAS UTARA;5;388
